corridor,state,slope_angle_deg,elevation_m,geology,rainfall_24h_mm,rainfall_72h_accum_mm,soil_saturation_pct,road_curvature_index,drainage_capacity_score,vegetation_loss_index,historical_landslides,heavy_truck_intensity,disruption_prob,disruption_occurred,hazard_type,clearance_time_hours
NH-6,Meghalaya,32.85,1336.2,Sandstone-Siltstone,140.55,281.77,61.7,3.9,7.5,0.349,0,1696,0.99,1,Tree Fall & Rock Obstruction,2.6
NH-102,Manipur,24.24,1762.8,Alluvial Silt,88.97,253.0,42.5,5.5,3.2,0.495,2,1106,0.9433,1,Tree Fall & Rock Obstruction,1.6
NH-6,Meghalaya,40.08,1595.8,Fractured Shale,0.43,26.1,20.2,4.9,6.5,0.66,5,1239,0.3169,1,Road Subsidence & Edge Collapse,14.5
NH-10,Sikkim,44.28,1137.0,Sandstone-Siltstone,2.52,36.11,17.1,4.8,9.5,0.612,4,1768,0.3127,0,None,0.0
NH-6,Meghalaya,36.73,1534.3,Alluvial Silt,7.82,38.11,13.6,10.0,7.7,0.765,2,1319,0.1959,0,None,0.0
NH-10,Sikkim,54.16,594.2,Fractured Shale,11.43,39.83,28.7,8.2,8.9,0.827,2,1559,0.7887,1,Tree Fall & Rock Obstruction,1.3
NH-13,Arunachal Pradesh,53.57,2507.8,Fractured Shale,2.22,24.13,5.0,6.8,7.1,0.637,9,821,0.9239,1,Road Subsidence & Edge Collapse,34.3
NH-10,Sikkim,41.56,1970.1,Alluvial Silt,12.11,28.52,12.4,8.0,2.4,0.081,6,952,0.4923,0,None,0.0
NH-208,Tripura,15.24,50.0,Fractured Shale,146.03,312.55,82.8,9.4,6.0,0.24,2,765,0.99,1,Flash Flood & Highway Waterlogging,2.2
NH-13,Arunachal Pradesh,46.73,2113.8,Gneiss-Schist,1.43,6.5,6.3,4.1,4.4,0.478,3,1189,0.3304,0,None,0.0
NH-13,Arunachal Pradesh,55.69,2168.4,Sandstone-Siltstone,1.21,14.32,9.7,5.1,5.3,0.322,3,1469,0.5772,1,Tree Fall & Rock Obstruction,2.0
NH-10,Sikkim,43.0,1462.6,Fractured Shale,13.64,51.35,32.7,6.8,4.8,0.336,1,994,0.3527,0,None,0.0
NH-715,Assam,8.0,726.8,Fractured Shale,2.16,40.85,22.1,6.1,9.1,0.14,0,1372,0.01,0,None,0.0
NH-29,Nagaland,41.69,1614.9,Sandstone-Siltstone,79.54,208.31,54.8,5.2,5.3,0.325,1,962,0.9874,1,Major Landslide / Rockfall,11.1
NH-27,Assam,8.0,722.5,Gneiss-Schist,63.92,172.97,48.6,8.0,4.2,0.206,2,1330,0.219,0,None,0.0
NH-715,Assam,29.2,146.1,Fractured Shale,3.63,49.45,35.6,5.5,6.6,0.665,0,816,0.0288,0,None,0.0
NH-6,Meghalaya,31.72,1535.4,Gneiss-Schist,37.1,138.69,40.9,3.4,5.5,0.832,0,1145,0.6259,0,None,0.0
NH-102,Manipur,30.95,1048.5,Sandstone-Siltstone,2.51,10.98,20.9,8.8,5.4,0.143,1,1146,0.0193,0,None,0.0
NH-27,Assam,13.68,446.1,Sandstone-Siltstone,8.64,36.88,32.2,9.1,3.9,0.465,1,1172,0.01,0,None,0.0
NH-6,Meghalaya,36.12,1273.3,Gneiss-Schist,1.73,39.21,35.8,10.0,4.9,0.127,4,659,0.2079,0,None,0.0
NH-715,Assam,13.11,340.5,Fractured Shale,119.07,248.54,62.9,9.9,7.1,0.752,2,849,0.9742,1,Flash Flood & Highway Waterlogging,15.4
NH-715,Assam,17.74,50.0,Sandstone-Siltstone,13.24,54.96,13.5,5.5,2.6,0.199,0,617,0.01,0,None,0.0
NH-6,Meghalaya,47.92,1314.6,Sandstone-Siltstone,20.81,66.46,42.5,5.3,7.3,0.418,3,1175,0.763,1,Tree Fall & Rock Obstruction,3.8
NH-13,Arunachal Pradesh,54.99,2009.0,Sandstone-Siltstone,89.37,214.01,46.3,2.3,3.6,0.627,2,596,0.99,1,Major Landslide / Rockfall,26.3
NH-6,Meghalaya,47.61,1426.4,Sandstone-Siltstone,14.36,63.0,38.4,4.1,5.1,0.2,6,1313,0.8485,0,None,0.0
NH-102,Manipur,25.2,855.2,Gneiss-Schist,99.83,328.29,65.7,6.7,5.7,0.378,0,998,0.9843,1,Tree Fall & Rock Obstruction,1.4
NH-715,Assam,17.06,434.6,Gneiss-Schist,139.37,366.57,99.0,2.9,4.5,0.161,0,1713,0.99,1,Flash Flood & Highway Waterlogging,4.4
NH-6,Meghalaya,39.01,1136.4,Gneiss-Schist,95.68,226.34,60.2,7.2,4.7,0.244,7,742,0.99,1,Major Landslide / Rockfall,27.4
NH-10,Sikkim,47.28,680.6,Alluvial Silt,2.64,36.93,34.3,6.9,3.1,0.427,1,846,0.4977,0,None,0.0
NH-27,Assam,20.95,50.0,Limestone Karst,2.31,17.67,14.4,4.5,5.8,0.073,2,1162,0.0288,0,None,0.0
NH-10,Sikkim,43.56,1498.3,Sandstone-Siltstone,28.97,94.68,32.8,7.2,7.5,0.163,5,1801,0.7711,0,None,0.0
NH-102,Manipur,29.36,659.1,Fractured Shale,1.3,35.09,31.5,7.3,1.7,0.309,0,1174,0.0274,0,None,0.0
NH-6,Meghalaya,41.47,1519.4,Gneiss-Schist,5.07,13.22,34.1,3.8,6.6,0.761,7,1229,0.6232,1,Road Subsidence & Edge Collapse,10.8
NH-208,Tripura,8.0,50.0,Fractured Shale,20.85,58.75,21.8,5.1,4.2,0.236,0,1236,0.01,0,None,0.0
NH-102,Manipur,30.46,1197.3,Sandstone-Siltstone,72.32,234.24,59.2,6.5,5.4,0.453,1,1965,0.9604,1,Tree Fall & Rock Obstruction,1.5
NH-13,Arunachal Pradesh,49.13,2130.8,Sandstone-Siltstone,10.95,39.61,12.6,4.1,4.3,0.151,6,1090,0.7243,1,Road Subsidence & Edge Collapse,16.1
NH-10,Sikkim,39.02,2029.3,Limestone Karst,79.55,224.16,64.3,1.0,5.0,0.587,4,1517,0.9794,1,Major Landslide / Rockfall,36.5
NH-10,Sikkim,51.87,1769.4,Limestone Karst,3.57,45.62,25.2,6.4,2.5,0.183,8,1164,0.8368,1,Road Subsidence & Edge Collapse,16.0
NH-29,Nagaland,35.1,1405.4,Gneiss-Schist,118.37,372.79,82.6,4.3,9.2,0.775,5,1116,0.99,1,Major Landslide / Rockfall,10.8
NH-6,Meghalaya,37.12,1264.4,Sandstone-Siltstone,34.43,116.14,17.1,2.7,1.8,0.234,4,494,0.7874,1,Road Subsidence & Edge Collapse,21.9
NH-13,Arunachal Pradesh,51.91,3139.7,Sandstone-Siltstone,1.67,43.34,29.5,3.9,5.0,0.676,2,1376,0.7255,1,Tree Fall & Rock Obstruction,3.3
NH-208,Tripura,26.8,50.0,Fractured Shale,34.23,126.82,30.7,3.0,2.4,0.405,1,912,0.3659,0,None,0.0
NH-10,Sikkim,44.93,1183.5,Alluvial Silt,163.82,331.6,62.4,5.3,5.9,0.324,2,1085,0.99,1,Major Landslide / Rockfall,18.1
NH-10,Sikkim,51.08,1206.7,Gneiss-Schist,78.73,244.77,57.7,9.3,1.2,0.474,3,915,0.99,1,Major Landslide / Rockfall,30.9
NH-13,Arunachal Pradesh,54.55,2199.3,Gneiss-Schist,96.2,194.57,54.7,8.0,5.8,0.16,7,1607,0.99,1,Major Landslide / Rockfall,21.8
NH-102,Manipur,32.8,428.4,Fractured Shale,2.94,12.19,11.2,6.6,3.8,0.403,0,1019,0.0155,0,None,0.0
NH-102,Manipur,24.92,1099.0,Sandstone-Siltstone,6.84,36.92,21.1,5.1,4.3,0.888,2,1512,0.0714,0,None,0.0
NH-6,Meghalaya,28.68,1108.9,Sandstone-Siltstone,47.39,129.95,29.3,6.5,5.7,0.555,0,1595,0.4041,1,Tree Fall & Rock Obstruction,1.5
NH-715,Assam,15.69,525.8,Fractured Shale,87.79,173.14,48.6,7.5,6.3,0.276,0,990,0.3913,0,None,0.0
NH-29,Nagaland,38.47,1063.2,Sandstone-Siltstone,80.67,232.3,54.7,8.3,6.8,0.291,2,1196,0.9865,1,Major Landslide / Rockfall,19.5
NH-10,Sikkim,50.98,1217.8,Fractured Shale,6.25,33.25,14.6,4.5,2.7,0.261,8,662,0.925,1,Road Subsidence & Edge Collapse,20.6
NH-715,Assam,19.85,50.0,Limestone Karst,71.94,215.44,48.3,2.0,6.8,0.671,0,870,0.6476,1,Tree Fall & Rock Obstruction,3.7
NH-715,Assam,13.8,50.0,Gneiss-Schist,0.29,11.13,36.5,9.8,5.5,0.427,0,718,0.01,0,None,0.0
NH-29,Nagaland,34.47,1248.2,Gneiss-Schist,2.96,29.5,14.7,8.6,7.7,0.461,0,1226,0.0405,0,None,0.0
NH-715,Assam,18.32,50.0,Fractured Shale,7.06,37.53,32.1,6.0,3.0,0.283,1,1091,0.01,0,None,0.0
NH-715,Assam,8.38,534.7,Fractured Shale,53.39,140.67,53.6,4.9,4.0,0.19,0,1151,0.0374,0,None,0.0
NH-102,Manipur,27.07,937.8,Fractured Shale,38.4,97.1,39.5,4.8,3.3,0.283,1,789,0.2481,0,None,0.0
NH-102,Manipur,25.63,1337.7,Sandstone-Siltstone,0.25,0.89,18.0,4.7,6.2,0.163,0,918,0.01,0,None,0.0
NH-27,Assam,11.1,50.0,Alluvial Silt,39.11,78.95,20.4,2.7,6.7,0.127,0,734,0.0178,0,None,0.0
NH-208,Tripura,25.61,301.8,Fractured Shale,0.5,10.03,12.2,5.4,6.8,0.386,1,739,0.01,0,None,0.0
NH-6,Meghalaya,37.97,1182.4,Fractured Shale,83.96,275.1,69.0,5.6,5.5,0.497,7,1219,0.99,1,Major Landslide / Rockfall,14.6
NH-715,Assam,12.12,50.0,Fractured Shale,19.3,60.08,7.6,3.7,5.0,0.5,0,1394,0.01,0,None,0.0
NH-27,Assam,8.0,50.0,Gneiss-Schist,7.62,28.62,27.5,6.0,7.6,0.186,0,1593,0.01,0,None,0.0
NH-208,Tripura,21.59,220.7,Alluvial Silt,1.08,14.39,28.5,8.0,2.7,0.526,0,1456,0.032,0,None,0.0
NH-27,Assam,8.0,158.6,Gneiss-Schist,82.96,208.58,62.3,4.9,2.3,0.297,1,1658,0.5643,0,None,0.0
NH-27,Assam,12.76,313.2,Sandstone-Siltstone,190.87,553.54,99.0,8.3,6.9,0.289,0,1050,0.99,1,Flash Flood & Highway Waterlogging,4.5
NH-6,Meghalaya,35.7,1464.5,Fractured Shale,16.9,68.07,20.2,6.7,1.4,0.391,9,1292,0.8794,0,None,0.0
NH-6,Meghalaya,43.45,2007.9,Gneiss-Schist,4.99,11.43,23.2,6.6,9.0,0.423,2,843,0.1508,0,None,0.0
NH-13,Arunachal Pradesh,48.98,2252.8,Fractured Shale,4.38,36.34,12.4,4.1,5.2,0.402,2,1485,0.411,1,Tree Fall & Rock Obstruction,1.4
NH-29,Nagaland,41.62,1797.5,Fractured Shale,29.0,105.79,42.7,8.9,9.6,0.305,4,710,0.7417,1,Road Subsidence & Edge Collapse,27.3
NH-29,Nagaland,45.16,1402.8,Fractured Shale,4.86,26.21,21.6,6.7,3.4,0.581,3,1443,0.5333,0,None,0.0
NH-13,Arunachal Pradesh,63.7,1927.5,Sandstone-Siltstone,1.5,27.67,13.8,7.0,3.9,0.301,3,752,0.8802,1,Tree Fall & Rock Obstruction,1.1
NH-13,Arunachal Pradesh,55.77,2415.3,Fractured Shale,67.83,233.59,69.9,7.9,6.1,0.157,3,1122,0.99,1,Major Landslide / Rockfall,6.0
NH-102,Manipur,31.42,923.3,Gneiss-Schist,1.69,9.74,23.2,4.1,1.8,0.794,0,1376,0.0931,0,None,0.0
NH-208,Tripura,18.02,369.6,Fractured Shale,255.69,540.7,99.0,7.7,3.8,0.184,1,931,0.99,1,Flash Flood & Highway Waterlogging,3.0
NH-27,Assam,8.59,185.9,Alluvial Silt,17.72,51.24,28.3,5.1,3.4,0.05,1,1527,0.0115,0,None,0.0
NH-715,Assam,8.83,50.0,Alluvial Silt,87.55,254.36,59.9,5.1,3.3,0.73,0,1064,0.7551,0,None,0.0
NH-13,Arunachal Pradesh,46.41,2522.3,Sandstone-Siltstone,91.9,258.7,61.6,6.1,6.4,0.345,6,826,0.99,1,Major Landslide / Rockfall,8.3
NH-10,Sikkim,39.98,938.6,Fractured Shale,0.17,18.98,20.5,5.0,2.8,0.089,3,1050,0.1276,0,None,0.0
NH-29,Nagaland,46.25,1687.6,Sandstone-Siltstone,232.02,650.0,99.0,4.8,5.9,0.318,4,1848,0.99,1,Major Landslide / Rockfall,31.0
NH-13,Arunachal Pradesh,43.04,2584.5,Alluvial Silt,6.45,47.47,19.5,4.7,8.1,0.395,3,1150,0.314,1,Tree Fall & Rock Obstruction,0.5
NH-10,Sikkim,53.67,1084.6,Fractured Shale,96.66,265.97,61.1,5.6,5.6,0.05,5,1153,0.99,1,Major Landslide / Rockfall,26.9
NH-10,Sikkim,49.89,1546.8,Alluvial Silt,24.18,92.17,25.9,3.3,4.9,0.473,5,824,0.8971,0,None,0.0
NH-10,Sikkim,45.13,1319.3,Gneiss-Schist,116.22,308.2,76.1,4.5,2.9,0.613,4,1639,0.99,1,Major Landslide / Rockfall,15.3
NH-102,Manipur,32.0,1205.6,Limestone Karst,8.93,59.03,40.6,6.9,1.3,0.412,0,1640,0.2679,1,Tree Fall & Rock Obstruction,2.3
NH-102,Manipur,28.38,699.0,Alluvial Silt,1.23,16.04,15.1,4.0,6.2,0.662,0,1781,0.04,0,None,0.0
NH-715,Assam,16.76,159.3,Fractured Shale,45.56,84.16,33.2,6.8,6.0,0.711,1,1633,0.0567,0,None,0.0
NH-715,Assam,22.07,50.0,Sandstone-Siltstone,98.52,217.06,54.1,9.3,7.6,0.182,2,1194,0.8751,1,Tree Fall & Rock Obstruction,3.8
NH-10,Sikkim,40.43,1713.4,Fractured Shale,60.94,144.25,43.8,9.3,6.3,0.69,6,1259,0.99,1,Major Landslide / Rockfall,23.3
NH-208,Tripura,8.03,50.0,Fractured Shale,33.37,96.79,35.3,2.6,5.5,0.564,0,1552,0.01,0,None,0.0
NH-102,Manipur,36.57,843.6,Gneiss-Schist,107.92,251.98,66.3,6.5,6.3,0.366,3,1163,0.99,1,Major Landslide / Rockfall,19.1
NH-27,Assam,14.11,50.0,Alluvial Silt,19.94,66.73,34.6,3.9,4.7,0.85,2,641,0.0812,0,None,0.0
NH-10,Sikkim,37.72,1402.4,Limestone Karst,94.79,232.05,70.6,3.7,1.5,0.641,2,981,0.987,1,Major Landslide / Rockfall,21.4
NH-27,Assam,8.0,657.2,Fractured Shale,18.36,64.65,30.8,6.1,4.3,0.372,2,732,0.01,0,None,0.0
NH-27,Assam,8.0,276.5,Fractured Shale,15.58,75.59,15.6,8.1,5.2,0.346,0,1323,0.01,0,None,0.0
NH-10,Sikkim,40.29,2088.4,Sandstone-Siltstone,180.03,399.18,99.0,7.9,2.6,0.512,7,1185,0.99,1,Major Landslide / Rockfall,41.4
NH-29,Nagaland,39.9,1086.6,Fractured Shale,91.66,309.95,95.8,2.8,7.1,0.204,4,1548,0.99,1,Major Landslide / Rockfall,14.4
NH-208,Tripura,16.27,50.0,Fractured Shale,4.86,22.3,34.8,6.6,4.9,0.5,0,1759,0.01,0,None,0.0
NH-10,Sikkim,40.77,932.1,Alluvial Silt,1.98,16.86,17.9,5.4,1.0,0.204,4,999,0.3633,0,None,0.0
NH-715,Assam,10.07,131.4,Alluvial Silt,10.02,61.25,29.3,2.8,2.5,0.368,0,1707,0.017,0,None,0.0
NH-10,Sikkim,43.51,891.9,Alluvial Silt,1.76,40.64,27.2,7.4,8.5,0.197,5,1035,0.346,0,None,0.0
NH-102,Manipur,33.09,724.5,Sandstone-Siltstone,5.13,40.38,36.3,3.0,6.4,0.189,1,386,0.0558,0,None,0.0
NH-10,Sikkim,42.94,1386.1,Sandstone-Siltstone,35.21,122.21,46.9,5.9,3.2,0.478,3,1222,0.9397,1,Tree Fall & Rock Obstruction,1.9
NH-29,Nagaland,49.53,1128.2,Gneiss-Schist,55.55,189.55,48.0,7.7,6.6,0.633,4,1224,0.99,1,Road Subsidence & Edge Collapse,10.6
NH-102,Manipur,35.3,610.0,Fractured Shale,3.99,40.07,31.7,6.2,5.6,0.263,3,1804,0.102,0,None,0.0
NH-715,Assam,8.0,50.0,Alluvial Silt,95.66,320.87,76.5,5.7,8.2,0.365,2,912,0.8448,1,Tree Fall & Rock Obstruction,0.1
NH-6,Meghalaya,41.4,1308.7,Fractured Shale,24.56,96.23,34.6,7.0,10.0,0.059,6,1482,0.6502,1,Road Subsidence & Edge Collapse,22.2
NH-6,Meghalaya,41.94,1703.0,Gneiss-Schist,4.46,35.57,26.6,6.8,3.1,0.678,3,1578,0.5216,1,Tree Fall & Rock Obstruction,2.2
NH-27,Assam,9.17,50.0,Gneiss-Schist,1.69,5.56,20.1,7.8,5.0,0.317,0,508,0.01,0,None,0.0
NH-208,Tripura,8.28,50.0,Fractured Shale,2.92,32.52,17.3,6.4,9.2,0.368,0,1718,0.01,0,None,0.0
NH-27,Assam,12.05,254.5,Gneiss-Schist,5.45,23.48,13.0,7.8,6.8,0.327,1,1471,0.01,0,None,0.0
NH-29,Nagaland,41.95,1740.4,Fractured Shale,23.74,63.78,25.4,7.7,2.8,0.108,4,1517,0.6791,1,Road Subsidence & Edge Collapse,15.3
NH-13,Arunachal Pradesh,42.71,2628.6,Sandstone-Siltstone,41.8,135.91,49.0,7.9,8.7,0.237,6,1541,0.9387,1,Road Subsidence & Edge Collapse,13.5
NH-715,Assam,8.0,235.7,Gneiss-Schist,195.24,445.38,99.0,2.0,6.7,0.723,0,787,0.99,1,Flash Flood & Highway Waterlogging,9.2
NH-208,Tripura,17.43,159.1,Gneiss-Schist,28.38,76.81,39.8,4.8,8.4,0.272,1,1104,0.0274,0,None,0.0
NH-715,Assam,13.48,267.5,Limestone Karst,37.07,99.88,30.4,7.8,2.3,0.13,3,1530,0.1558,0,None,0.0
NH-6,Meghalaya,35.29,1319.8,Fractured Shale,207.52,606.98,99.0,7.1,2.5,0.378,2,738,0.99,1,Major Landslide / Rockfall,8.5
NH-27,Assam,11.46,50.0,Sandstone-Siltstone,7.56,28.45,23.5,6.4,4.7,0.794,1,968,0.01,0,None,0.0
NH-715,Assam,8.0,50.0,Alluvial Silt,2.97,39.23,28.5,7.2,6.2,0.239,1,1886,0.01,0,None,0.0
NH-6,Meghalaya,35.17,1668.0,Sandstone-Siltstone,15.05,73.76,26.6,7.7,2.5,0.747,3,1270,0.5714,1,Tree Fall & Rock Obstruction,3.1
NH-29,Nagaland,45.47,1563.4,Alluvial Silt,6.89,56.4,21.4,5.8,7.3,0.407,1,1369,0.3339,0,None,0.0
NH-29,Nagaland,39.73,1733.1,Sandstone-Siltstone,86.13,240.86,60.9,3.0,10.0,0.713,4,1910,0.99,1,Major Landslide / Rockfall,14.6
NH-13,Arunachal Pradesh,39.13,1355.3,Gneiss-Schist,5.08,30.61,6.2,10.0,3.7,0.648,5,727,0.417,0,None,0.0
NH-715,Assam,11.93,80.9,Alluvial Silt,13.06,56.46,9.7,5.5,3.6,0.731,1,1948,0.0259,0,None,0.0
NH-13,Arunachal Pradesh,43.04,1943.2,Alluvial Silt,107.99,298.94,67.6,6.4,8.9,0.535,2,724,0.99,1,Major Landslide / Rockfall,17.3
NH-102,Manipur,33.74,1400.4,Alluvial Silt,128.03,332.17,81.3,1.9,3.8,0.119,0,1525,0.99,1,Mudslide & Debris Flow,5.1
NH-208,Tripura,20.07,304.3,Fractured Shale,3.45,31.98,8.1,7.4,2.0,0.394,0,1431,0.01,0,None,0.0
NH-715,Assam,8.0,165.3,Sandstone-Siltstone,15.03,61.17,26.2,4.3,8.3,0.369,2,1690,0.01,0,None,0.0
NH-29,Nagaland,46.93,1370.4,Fractured Shale,12.43,71.49,18.6,5.3,6.6,0.466,2,724,0.5619,1,Tree Fall & Rock Obstruction,0.9
NH-27,Assam,8.0,199.2,Fractured Shale,3.69,13.98,7.8,5.7,8.3,0.367,0,1357,0.01,0,None,0.0
NH-6,Meghalaya,48.13,1121.5,Sandstone-Siltstone,98.49,260.54,58.0,8.7,5.1,0.174,6,867,0.99,1,Major Landslide / Rockfall,22.0
NH-10,Sikkim,44.68,1170.1,Limestone Karst,55.89,134.3,50.1,9.7,5.2,0.455,4,502,0.928,1,Road Subsidence & Edge Collapse,14.2
NH-13,Arunachal Pradesh,41.9,2026.5,Sandstone-Siltstone,3.72,11.15,26.0,6.7,4.4,0.627,4,1713,0.4114,1,Road Subsidence & Edge Collapse,23.3
NH-10,Sikkim,37.58,1879.9,Alluvial Silt,2.58,27.19,5.0,7.2,4.2,0.188,4,1387,0.1859,1,Road Subsidence & Edge Collapse,18.3
NH-715,Assam,17.26,536.0,Alluvial Silt,0.73,3.8,5.0,6.6,3.9,0.339,1,1031,0.01,0,None,0.0
NH-27,Assam,9.46,398.9,Fractured Shale,59.32,191.23,57.2,5.1,3.0,0.26,0,1623,0.1987,0,None,0.0
NH-13,Arunachal Pradesh,49.37,1752.9,Fractured Shale,12.27,30.54,41.0,2.7,3.4,0.549,4,621,0.8855,1,Road Subsidence & Edge Collapse,9.3
NH-10,Sikkim,55.48,1459.2,Fractured Shale,37.25,106.16,29.5,8.8,4.1,0.518,2,1277,0.9869,1,Tree Fall & Rock Obstruction,3.7
NH-208,Tripura,13.45,176.3,Gneiss-Schist,5.93,37.32,17.8,6.8,5.6,0.153,2,565,0.01,0,None,0.0
NH-27,Assam,12.39,447.0,Fractured Shale,14.4,68.99,35.3,6.6,8.0,0.739,3,1463,0.01,0,None,0.0
NH-6,Meghalaya,47.23,1496.7,Gneiss-Schist,8.51,37.5,24.8,8.4,1.4,0.573,4,1107,0.7871,1,Road Subsidence & Edge Collapse,22.1
NH-208,Tripura,19.76,118.0,Fractured Shale,142.45,434.51,99.0,3.9,5.8,0.699,2,1395,0.99,1,Flash Flood & Highway Waterlogging,0.8
NH-27,Assam,8.0,150.1,Fractured Shale,5.93,33.57,21.9,4.3,1.2,0.555,0,2051,0.01,0,None,0.0
NH-102,Manipur,35.29,408.3,Sandstone-Siltstone,52.07,141.4,47.0,6.2,6.1,0.646,6,1475,0.9585,1,Road Subsidence & Edge Collapse,20.7
NH-13,Arunachal Pradesh,42.44,1969.8,Sandstone-Siltstone,3.41,40.03,20.7,7.3,1.0,0.229,6,1516,0.6567,0,None,0.0
NH-29,Nagaland,51.14,1612.0,Alluvial Silt,1.19,38.89,23.5,7.0,1.1,0.677,3,985,0.7871,1,Tree Fall & Rock Obstruction,1.5
NH-6,Meghalaya,32.65,1741.8,Limestone Karst,11.01,62.15,15.0,7.8,6.1,0.259,2,1261,0.172,0,None,0.0
NH-715,Assam,34.3,50.0,Alluvial Silt,136.61,316.46,85.1,8.5,5.4,0.368,0,701,0.99,1,Mudslide & Debris Flow,9.3
NH-208,Tripura,27.54,107.8,Fractured Shale,24.59,72.54,36.5,4.8,1.8,0.475,1,985,0.1892,0,None,0.0
NH-208,Tripura,12.82,50.0,Gneiss-Schist,0.13,6.17,10.4,10.0,7.4,0.266,1,1368,0.01,0,None,0.0
NH-10,Sikkim,45.13,1637.8,Sandstone-Siltstone,0.46,21.32,16.5,4.7,4.4,0.411,5,1494,0.4799,0,None,0.0
NH-13,Arunachal Pradesh,54.9,2534.1,Fractured Shale,25.75,86.29,29.7,6.8,6.1,0.347,6,1385,0.9833,1,Road Subsidence & Edge Collapse,20.7
NH-715,Assam,20.09,290.6,Sandstone-Siltstone,1.8,10.67,13.4,6.0,7.2,0.277,0,1102,0.01,0,None,0.0
NH-29,Nagaland,44.88,1622.0,Sandstone-Siltstone,62.24,139.56,26.2,5.7,8.8,0.373,3,1554,0.9286,1,Major Landslide / Rockfall,14.3
NH-27,Assam,20.14,545.8,Fractured Shale,5.76,33.95,23.0,10.0,5.0,0.661,2,1730,0.0104,0,None,0.0
NH-29,Nagaland,41.2,1258.5,Fractured Shale,144.42,426.27,76.3,8.9,2.7,0.05,7,692,0.99,1,Major Landslide / Rockfall,8.9
NH-13,Arunachal Pradesh,47.62,1926.1,Limestone Karst,95.31,301.97,78.5,6.5,7.5,0.379,4,1748,0.99,1,Major Landslide / Rockfall,17.1
NH-13,Arunachal Pradesh,47.75,2518.5,Gneiss-Schist,16.81,60.23,38.3,6.4,8.0,0.46,4,1399,0.7249,1,Road Subsidence & Edge Collapse,26.7
NH-102,Manipur,37.58,1248.3,Fractured Shale,5.1,23.05,19.0,1.7,6.9,0.776,3,2054,0.1542,0,None,0.0
NH-102,Manipur,34.37,592.0,Alluvial Silt,4.25,11.76,16.0,4.7,5.9,0.33,0,1744,0.0565,0,None,0.0
NH-29,Nagaland,43.89,1340.6,Alluvial Silt,12.69,54.24,9.9,5.6,7.6,0.149,3,917,0.3038,1,Tree Fall & Rock Obstruction,2.1
NH-27,Assam,17.17,586.7,Alluvial Silt,0.26,9.45,13.3,5.1,4.3,0.337,2,639,0.014,0,None,0.0
NH-29,Nagaland,28.67,1623.5,Gneiss-Schist,5.84,22.96,5.0,6.5,5.1,0.351,1,1214,0.0269,0,None,0.0
NH-13,Arunachal Pradesh,52.02,2436.1,Sandstone-Siltstone,114.36,370.3,86.8,5.5,6.9,0.25,6,1045,0.99,1,Major Landslide / Rockfall,15.1
NH-13,Arunachal Pradesh,51.42,1852.3,Sandstone-Siltstone,72.67,198.09,43.0,6.6,5.9,0.554,3,889,0.99,1,Major Landslide / Rockfall,12.7
NH-10,Sikkim,55.85,1397.0,Sandstone-Siltstone,1.35,14.99,15.6,6.2,7.3,0.211,6,312,0.6986,1,Road Subsidence & Edge Collapse,36.4
NH-102,Manipur,22.06,524.1,Alluvial Silt,51.24,115.53,25.5,7.3,1.4,0.47,1,1161,0.3841,0,None,0.0
NH-715,Assam,25.12,50.0,Gneiss-Schist,52.31,180.97,50.9,6.6,4.6,0.508,0,1404,0.6487,1,Tree Fall & Rock Obstruction,2.4
NH-715,Assam,15.49,313.0,Fractured Shale,38.74,125.08,37.8,9.6,6.9,0.133,0,1208,0.0173,0,None,0.0
NH-715,Assam,18.18,525.3,Gneiss-Schist,10.63,66.68,8.5,5.9,4.8,0.444,0,999,0.0146,0,None,0.0
NH-10,Sikkim,55.89,1123.9,Sandstone-Siltstone,4.43,19.23,5.0,8.4,6.6,0.4,6,1739,0.7681,1,Road Subsidence & Edge Collapse,17.1
NH-6,Meghalaya,41.64,1236.0,Alluvial Silt,67.24,182.15,44.2,3.6,4.0,0.483,4,1194,0.9759,1,Major Landslide / Rockfall,31.2
NH-715,Assam,17.6,608.3,Fractured Shale,1.53,4.82,18.9,4.6,8.0,0.253,1,1856,0.01,0,None,0.0
NH-13,Arunachal Pradesh,51.57,2141.6,Gneiss-Schist,101.19,344.15,75.1,3.4,4.2,0.422,4,918,0.99,1,Major Landslide / Rockfall,6.2
NH-10,Sikkim,41.86,1180.3,Fractured Shale,46.5,144.53,44.5,9.8,3.3,0.393,5,1007,0.9889,1,Road Subsidence & Edge Collapse,5.0
NH-29,Nagaland,41.81,2008.2,Fractured Shale,82.39,210.52,68.6,6.1,4.5,0.344,4,1777,0.99,1,Major Landslide / Rockfall,6.8
NH-102,Manipur,27.35,843.9,Gneiss-Schist,132.26,414.66,85.7,2.7,6.9,0.394,0,1081,0.99,1,Mudslide & Debris Flow,4.6
NH-102,Manipur,31.71,753.8,Fractured Shale,154.63,353.93,91.1,4.0,4.5,0.635,0,1905,0.99,1,Mudslide & Debris Flow,2.5
NH-27,Assam,8.0,324.7,Gneiss-Schist,2.19,22.65,13.6,6.8,1.0,0.274,0,1210,0.01,0,None,0.0
NH-29,Nagaland,44.79,1286.4,Fractured Shale,148.33,380.37,78.8,5.0,3.5,0.768,2,1459,0.99,1,Major Landslide / Rockfall,14.6
